Time,TrackingValue
7862.00000, -90.66726
7887.00000, -90.66743
7912.00000, -90.66739
7937.00000, -90.66760
7962.00000, -90.66742
7987.00000, -90.66735
8012.00000, -90.66735
8037.00000, -90.66731
8062.00000, -90.66746
8087.00000, -90.66738
8112.00000, -90.66734
8137.00000, -90.66735
8162.00000, -90.66727
8187.00000, -90.66742
8212.00000, -90.66730
8237.00000, -90.66741
8262.00000, -90.66740
8287.00000, -90.66731
8312.00000, -90.66733
8337.00000, -90.66720
8362.00000, -90.66718
8387.00000, -90.66754
8412.00000, -90.66742
8437.00000, -90.66747
8462.00000, -90.66740
8487.00000, -90.66726
8512.00000, -90.66740
8537.00000, -90.66738
8562.00000, -90.66731
8587.00000, -90.66733
8612.00000, -90.66731
8637.00000, -90.66732
8662.00000, -90.66741
8687.00000, -90.66750
8712.00000, -90.66739
8737.00000, -90.66738
8762.00000, -90.66745
8787.00000, -90.66748
8812.00000, -90.66739
8837.00000, -90.66736
8862.00000, -90.66730
8887.00000, -90.66727
8912.00000, -90.66743
8937.00000, -90.66745
8962.00000, -90.66729
8987.00000, -90.66730
9012.00000, -90.66742
9037.00000, -90.66728
9062.00000, -90.66734
9087.00000, -90.66735
9112.00000, -90.66727
9137.00000, -90.66745
9162.00000, -90.66711
9187.00000, -90.66732
9212.00000, -90.66742
9237.00000, -90.66736
9262.00000, -90.66740
9287.00000, -90.66724
9312.00000, -90.66759
9337.00000, -90.66742
9362.00000, -90.66741
9387.00000, -90.66732
9412.00000, -90.66749
9437.00000, -90.66748
9462.00000, -90.66743
9487.00000, -90.66744
9512.00000, -90.66743
9537.00000, -90.66742
9562.00000, -90.66741
9587.00000, -90.66740
9612.00000, -90.66759
9637.00000, -90.66736
9662.00000, -90.66741
9687.00000, -90.66739
9712.00000, -90.66754
9737.00000, -90.66749
9762.00000, -90.66746
9787.00000, -90.66749
9812.00000, -90.66741
9837.00000, -90.66732
9862.00000, -90.66744
9887.00000, -90.66753
9912.00000, -90.66755
9937.00000, -90.66731
9962.00000, -90.66770
9987.00000, -90.66758
10012.00000, -90.66737
10037.00000, -90.66760
10062.00000, -90.66734
10087.00000, -90.66744
10112.00000, -90.66749
10137.00000, -90.66738
10162.00000, -90.66745
10187.00000, -90.66773
10212.00000, -90.66771
10237.00000, -90.66763
10262.00000, -90.66766
10287.00000, -90.66762
10312.00000, -90.66774
10337.00000, -90.66768
10362.00000, -90.66740
10387.00000, -90.66741
10412.00000, -90.66739
10437.00000, -90.66760
10462.00000, -90.66755
10487.00000, -90.66745
10512.00000, -90.66758
10537.00000, -90.66744
10562.00000, -90.66754
10587.00000, -90.66761
10612.00000, -90.66761
10637.00000, -90.66758
10662.00000, -90.66741
10687.00000, -90.66760
10712.00000, -90.66758
10737.00000, -90.66748
10762.00000, -90.66746
10787.00000, -90.66734
10812.00000, -90.66759
10837.00000, -90.66761
10862.00000, -90.66750
10887.00000, -90.66766
10912.00000, -90.66790
